applied_code_bias_terms,max_abs_applied_code_bias_m,missing_code_bias_terms,observations,selected_code_bias_terms,source,station,time_gpst,tow_s
0,0.000,0,26,0,broadcast,DLF1,2026-07-08 19:33:00 GPST,329580.0
0,0.000,0,24,0,broadcast,DLF1,2026-07-08 19:38:00 GPST,329880.0
0,0.000,0,24,0,broadcast,DLF1,2026-07-08 19:43:00 GPST,330180.0
0,0.000,0,25,0,broadcast,DLF1,2026-07-08 19:48:00 GPST,330480.0
0,0.000,0,26,0,broadcast,DLF1,2026-07-08 19:53:00 GPST,330780.0
0,0.000,0,26,0,broadcast,DLF1,2026-07-08 19:58:00 GPST,331080.0
0,0.000,0,26,0,broadcast,DLF1,2026-07-08 20:03:00 GPST,331380.0
0,0.000,0,24,0,broadcast,DLF1,2026-07-08 20:08:00 GPST,331680.0
0,0.000,0,24,0,broadcast,DLF1,2026-07-08 20:13:00 GPST,331980.0
0,0.000,0,24,0,broadcast,DLF1,2026-07-08 20:18:00 GPST,332280.0
0,0.000,0,24,0,broadcast,DLF1,2026-07-08 20:23:00 GPST,332580.0
0,0.000,0,23,0,broadcast,DLF1,2026-07-08 20:28:00 GPST,332880.0
0,0.000,0,22,0,broadcast,DLF1,2026-07-08 20:33:00 GPST,333180.0
0,0.000,0,21,0,broadcast,DLF1,2026-07-08 20:38:00 GPST,333480.0
0,0.000,0,23,0,broadcast,DLF1,2026-07-08 20:43:00 GPST,333780.0
0,0.000,0,23,0,broadcast,DLF1,2026-07-08 20:48:00 GPST,334080.0
0,0.000,0,22,0,broadcast,DLF1,2026-07-08 20:53:00 GPST,334380.0
0,0.000,0,22,0,broadcast,DLF1,2026-07-08 20:58:00 GPST,334680.0
0,0.000,0,22,0,broadcast,DLF1,2026-07-08 21:03:00 GPST,334980.0
13,6.940,39,26,52,has,DLF1,2026-07-08 19:33:00 GPST,329580.0
11,6.940,37,24,48,has,DLF1,2026-07-08 19:38:00 GPST,329880.0
11,6.940,37,24,48,has,DLF1,2026-07-08 19:43:00 GPST,330180.0
12,6.940,38,25,50,has,DLF1,2026-07-08 19:48:00 GPST,330480.0
12,6.940,40,26,52,has,DLF1,2026-07-08 19:53:00 GPST,330780.0
12,6.940,40,26,52,has,DLF1,2026-07-08 19:58:00 GPST,331080.0
12,6.940,40,26,52,has,DLF1,2026-07-08 20:03:00 GPST,331380.0
12,6.940,36,24,48,has,DLF1,2026-07-08 20:08:00 GPST,331680.0
12,6.940,36,24,48,has,DLF1,2026-07-08 20:13:00 GPST,331980.0
12,6.940,36,24,48,has,DLF1,2026-07-08 20:18:00 GPST,332280.0
12,6.940,36,24,48,has,DLF1,2026-07-08 20:23:00 GPST,332580.0
11,6.940,35,23,46,has,DLF1,2026-07-08 20:28:00 GPST,332880.0
11,6.940,33,22,44,has,DLF1,2026-07-08 20:33:00 GPST,333180.0
10,6.940,32,21,42,has,DLF1,2026-07-08 20:38:00 GPST,333480.0
11,6.940,35,23,46,has,DLF1,2026-07-08 20:43:00 GPST,333780.0
11,6.940,35,23,46,has,DLF1,2026-07-08 20:48:00 GPST,334080.0
11,6.940,33,22,44,has,DLF1,2026-07-08 20:53:00 GPST,334380.0
11,6.940,33,22,44,has,DLF1,2026-07-08 20:58:00 GPST,334680.0
11,6.940,33,22,44,has,DLF1,2026-07-08 21:03:00 GPST,334980.0
0,0.000,52,26,52,igs,DLF1,2026-07-08 19:33:00 GPST,329580.0
11,3.200,37,24,48,igs,DLF1,2026-07-08 19:38:00 GPST,329880.0
11,3.200,37,24,48,igs,DLF1,2026-07-08 19:43:00 GPST,330180.0
12,3.200,38,25,50,igs,DLF1,2026-07-08 19:48:00 GPST,330480.0
13,3.600,39,26,52,igs,DLF1,2026-07-08 19:53:00 GPST,330780.0
13,3.600,39,26,52,igs,DLF1,2026-07-08 19:58:00 GPST,331080.0
13,3.600,39,26,52,igs,DLF1,2026-07-08 20:03:00 GPST,331380.0
13,3.600,35,24,48,igs,DLF1,2026-07-08 20:08:00 GPST,331680.0
13,3.600,35,24,48,igs,DLF1,2026-07-08 20:13:00 GPST,331980.0
13,3.600,35,24,48,igs,DLF1,2026-07-08 20:18:00 GPST,332280.0
13,3.600,35,24,48,igs,DLF1,2026-07-08 20:23:00 GPST,332580.0
12,3.600,34,23,46,igs,DLF1,2026-07-08 20:28:00 GPST,332880.0
12,3.600,32,22,44,igs,DLF1,2026-07-08 20:33:00 GPST,333180.0
11,3.600,31,21,42,igs,DLF1,2026-07-08 20:38:00 GPST,333480.0
12,3.600,34,23,46,igs,DLF1,2026-07-08 20:43:00 GPST,333780.0
12,3.600,34,23,46,igs,DLF1,2026-07-08 20:48:00 GPST,334080.0
12,3.600,32,22,44,igs,DLF1,2026-07-08 20:53:00 GPST,334380.0
12,3.600,32,22,44,igs,DLF1,2026-07-08 20:58:00 GPST,334680.0
12,3.600,32,22,44,igs,DLF1,2026-07-08 21:03:00 GPST,334980.0
0,0.000,0,11,0,broadcast,DYNG,2026-07-08 19:33:00 GPST,329580.0
0,0.000,0,11,0,broadcast,DYNG,2026-07-08 19:38:00 GPST,329880.0
0,0.000,0,11,0,broadcast,DYNG,2026-07-08 19:43:00 GPST,330180.0
0,0.000,0,10,0,broadcast,DYNG,2026-07-08 19:48:00 GPST,330480.0
0,0.000,0,10,0,broadcast,DYNG,2026-07-08 19:53:00 GPST,330780.0
0,0.000,0,11,0,broadcast,DYNG,2026-07-08 19:58:00 GPST,331080.0
0,0.000,0,11,0,broadcast,DYNG,2026-07-08 20:03:00 GPST,331380.0
0,0.000,0,11,0,broadcast,DYNG,2026-07-08 20:08:00 GPST,331680.0
0,0.000,0,11,0,broadcast,DYNG,2026-07-08 20:13:00 GPST,331980.0
0,0.000,0,11,0,broadcast,DYNG,2026-07-08 20:18:00 GPST,332280.0
0,0.000,0,12,0,broadcast,DYNG,2026-07-08 20:23:00 GPST,332580.0
0,0.000,0,11,0,broadcast,DYNG,2026-07-08 20:28:00 GPST,332880.0
0,0.000,0,11,0,broadcast,DYNG,2026-07-08 20:33:00 GPST,333180.0
0,0.000,0,11,0,broadcast,DYNG,2026-07-08 20:38:00 GPST,333480.0
0,0.000,0,11,0,broadcast,DYNG,2026-07-08 20:43:00 GPST,333780.0
0,0.000,0,11,0,broadcast,DYNG,2026-07-08 20:48:00 GPST,334080.0
0,0.000,0,11,0,broadcast,DYNG,2026-07-08 20:53:00 GPST,334380.0
0,0.000,0,12,0,broadcast,DYNG,2026-07-08 20:58:00 GPST,334680.0
0,0.000,0,12,0,broadcast,DYNG,2026-07-08 21:03:00 GPST,334980.0
11,6.940,11,11,22,has,DYNG,2026-07-08 19:33:00 GPST,329580.0
11,6.940,11,11,22,has,DYNG,2026-07-08 19:38:00 GPST,329880.0
11,6.940,11,11,22,has,DYNG,2026-07-08 19:43:00 GPST,330180.0
10,6.940,10,10,20,has,DYNG,2026-07-08 19:48:00 GPST,330480.0
10,6.940,10,10,20,has,DYNG,2026-07-08 19:53:00 GPST,330780.0
11,6.940,11,11,22,has,DYNG,2026-07-08 19:58:00 GPST,331080.0
11,6.940,11,11,22,has,DYNG,2026-07-08 20:03:00 GPST,331380.0
11,6.940,11,11,22,has,DYNG,2026-07-08 20:08:00 GPST,331680.0
11,6.940,11,11,22,has,DYNG,2026-07-08 20:13:00 GPST,331980.0
11,6.940,11,11,22,has,DYNG,2026-07-08 20:18:00 GPST,332280.0
12,6.940,12,12,24,has,DYNG,2026-07-08 20:23:00 GPST,332580.0
11,6.940,11,11,22,has,DYNG,2026-07-08 20:28:00 GPST,332880.0
11,6.940,11,11,22,has,DYNG,2026-07-08 20:33:00 GPST,333180.0
11,6.940,11,11,22,has,DYNG,2026-07-08 20:38:00 GPST,333480.0
11,6.940,11,11,22,has,DYNG,2026-07-08 20:43:00 GPST,333780.0
11,6.940,11,11,22,has,DYNG,2026-07-08 20:48:00 GPST,334080.0
11,6.940,11,11,22,has,DYNG,2026-07-08 20:53:00 GPST,334380.0
12,6.940,12,12,24,has,DYNG,2026-07-08 20:58:00 GPST,334680.0
12,6.940,12,12,24,has,DYNG,2026-07-08 21:03:00 GPST,334980.0
0,0.000,22,11,22,igs,DYNG,2026-07-08 19:33:00 GPST,329580.0
11,3.200,11,11,22,igs,DYNG,2026-07-08 19:38:00 GPST,329880.0
11,3.200,11,11,22,igs,DYNG,2026-07-08 19:43:00 GPST,330180.0
10,3.200,10,10,20,igs,DYNG,2026-07-08 19:48:00 GPST,330480.0
10,3.200,10,10,20,igs,DYNG,2026-07-08 19:53:00 GPST,330780.0
11,3.200,11,11,22,igs,DYNG,2026-07-08 19:58:00 GPST,331080.0
11,3.200,11,11,22,igs,DYNG,2026-07-08 20:03:00 GPST,331380.0
11,3.200,11,11,22,igs,DYNG,2026-07-08 20:08:00 GPST,331680.0
11,3.200,11,11,22,igs,DYNG,2026-07-08 20:13:00 GPST,331980.0
11,3.200,11,11,22,igs,DYNG,2026-07-08 20:18:00 GPST,332280.0
12,3.200,12,12,24,igs,DYNG,2026-07-08 20:23:00 GPST,332580.0
11,3.200,11,11,22,igs,DYNG,2026-07-08 20:28:00 GPST,332880.0
11,3.200,11,11,22,igs,DYNG,2026-07-08 20:33:00 GPST,333180.0
11,3.200,11,11,22,igs,DYNG,2026-07-08 20:38:00 GPST,333480.0
11,3.200,11,11,22,igs,DYNG,2026-07-08 20:43:00 GPST,333780.0
11,3.200,11,11,22,igs,DYNG,2026-07-08 20:48:00 GPST,334080.0
11,3.200,11,11,22,igs,DYNG,2026-07-08 20:53:00 GPST,334380.0
12,3.200,12,12,24,igs,DYNG,2026-07-08 20:58:00 GPST,334680.0
12,3.200,12,12,24,igs,DYNG,2026-07-08 21:03:00 GPST,334980.0
0,0.000,0,12,0,broadcast,EBRE,2026-07-08 19:33:00 GPST,329580.0
0,0.000,0,12,0,broadcast,EBRE,2026-07-08 19:38:00 GPST,329880.0
0,0.000,0,12,0,broadcast,EBRE,2026-07-08 19:43:00 GPST,330180.0
0,0.000,0,12,0,broadcast,EBRE,2026-07-08 19:48:00 GPST,330480.0
0,0.000,0,13,0,broadcast,EBRE,2026-07-08 19:53:00 GPST,330780.0
0,0.000,0,13,0,broadcast,EBRE,2026-07-08 19:58:00 GPST,331080.0
0,0.000,0,12,0,broadcast,EBRE,2026-07-08 20:03:00 GPST,331380.0
0,0.000,0,12,0,broadcast,EBRE,2026-07-08 20:08:00 GPST,331680.0
0,0.000,0,12,0,broadcast,EBRE,2026-07-08 20:13:00 GPST,331980.0
0,0.000,0,11,0,broadcast,EBRE,2026-07-08 20:18:00 GPST,332280.0
0,0.000,0,11,0,broadcast,EBRE,2026-07-08 20:23:00 GPST,332580.0
0,0.000,0,11,0,broadcast,EBRE,2026-07-08 20:28:00 GPST,332880.0
0,0.000,0,11,0,broadcast,EBRE,2026-07-08 20:33:00 GPST,333180.0
0,0.000,0,11,0,broadcast,EBRE,2026-07-08 20:38:00 GPST,333480.0
0,0.000,0,11,0,broadcast,EBRE,2026-07-08 20:43:00 GPST,333780.0
0,0.000,0,11,0,broadcast,EBRE,2026-07-08 20:48:00 GPST,334080.0
0,0.000,0,11,0,broadcast,EBRE,2026-07-08 20:53:00 GPST,334380.0
0,0.000,0,10,0,broadcast,EBRE,2026-07-08 20:58:00 GPST,334680.0
0,0.000,0,10,0,broadcast,EBRE,2026-07-08 21:03:00 GPST,334980.0
12,6.940,12,12,24,has,EBRE,2026-07-08 19:33:00 GPST,329580.0
12,6.940,12,12,24,has,EBRE,2026-07-08 19:38:00 GPST,329880.0
12,6.940,12,12,24,has,EBRE,2026-07-08 19:43:00 GPST,330180.0
12,6.940,12,12,24,has,EBRE,2026-07-08 19:48:00 GPST,330480.0
13,6.940,13,13,26,has,EBRE,2026-07-08 19:53:00 GPST,330780.0
13,6.940,13,13,26,has,EBRE,2026-07-08 19:58:00 GPST,331080.0
12,6.940,12,12,24,has,EBRE,2026-07-08 20:03:00 GPST,331380.0
12,6.940,12,12,24,has,EBRE,2026-07-08 20:08:00 GPST,331680.0
12,6.940,12,12,24,has,EBRE,2026-07-08 20:13:00 GPST,331980.0
11,6.940,11,11,22,has,EBRE,2026-07-08 20:18:00 GPST,332280.0
11,6.940,11,11,22,has,EBRE,2026-07-08 20:23:00 GPST,332580.0
11,6.940,11,11,22,has,EBRE,2026-07-08 20:28:00 GPST,332880.0
11,6.940,11,11,22,has,EBRE,2026-07-08 20:33:00 GPST,333180.0
11,6.940,11,11,22,has,EBRE,2026-07-08 20:38:00 GPST,333480.0
11,6.940,11,11,22,has,EBRE,2026-07-08 20:43:00 GPST,333780.0
11,6.940,11,11,22,has,EBRE,2026-07-08 20:48:00 GPST,334080.0
11,6.940,11,11,22,has,EBRE,2026-07-08 20:53:00 GPST,334380.0
10,6.940,10,10,20,has,EBRE,2026-07-08 20:58:00 GPST,334680.0
10,6.940,10,10,20,has,EBRE,2026-07-08 21:03:00 GPST,334980.0
0,0.000,24,12,24,igs,EBRE,2026-07-08 19:33:00 GPST,329580.0
12,3.200,12,12,24,igs,EBRE,2026-07-08 19:38:00 GPST,329880.0
12,3.200,12,12,24,igs,EBRE,2026-07-08 19:43:00 GPST,330180.0
12,3.200,12,12,24,igs,EBRE,2026-07-08 19:48:00 GPST,330480.0
13,3.200,13,13,26,igs,EBRE,2026-07-08 19:53:00 GPST,330780.0
13,3.200,13,13,26,igs,EBRE,2026-07-08 19:58:00 GPST,331080.0
12,3.200,12,12,24,igs,EBRE,2026-07-08 20:03:00 GPST,331380.0
12,3.200,12,12,24,igs,EBRE,2026-07-08 20:08:00 GPST,331680.0
12,3.200,12,12,24,igs,EBRE,2026-07-08 20:13:00 GPST,331980.0
11,3.030,11,11,22,igs,EBRE,2026-07-08 20:18:00 GPST,332280.0
11,3.030,11,11,22,igs,EBRE,2026-07-08 20:23:00 GPST,332580.0
11,3.030,11,11,22,igs,EBRE,2026-07-08 20:28:00 GPST,332880.0
11,3.030,11,11,22,igs,EBRE,2026-07-08 20:33:00 GPST,333180.0
11,3.030,11,11,22,igs,EBRE,2026-07-08 20:38:00 GPST,333480.0
11,3.790,11,11,22,igs,EBRE,2026-07-08 20:43:00 GPST,333780.0
11,3.790,11,11,22,igs,EBRE,2026-07-08 20:48:00 GPST,334080.0
11,3.790,11,11,22,igs,EBRE,2026-07-08 20:53:00 GPST,334380.0
10,3.790,10,10,20,igs,EBRE,2026-07-08 20:58:00 GPST,334680.0
10,3.790,10,10,20,igs,EBRE,2026-07-08 21:03:00 GPST,334980.0
