broadcast_fallback_satellites,corrected_satellites,fallback_satellites,source,station,time_gpst,total_satellites,tow_s
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 19:33:00 GPST,31,329580.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 19:38:00 GPST,31,329880.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 19:43:00 GPST,31,330180.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 19:48:00 GPST,31,330480.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 19:53:00 GPST,31,330780.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 19:58:00 GPST,31,331080.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 20:03:00 GPST,31,331380.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 20:08:00 GPST,31,331680.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 20:13:00 GPST,31,331980.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 20:18:00 GPST,31,332280.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 20:23:00 GPST,31,332580.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 20:28:00 GPST,31,332880.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 20:33:00 GPST,31,333180.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 20:38:00 GPST,31,333480.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 20:43:00 GPST,31,333780.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 20:48:00 GPST,31,334080.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 20:53:00 GPST,31,334380.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 20:58:00 GPST,31,334680.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 21:03:00 GPST,31,334980.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,has,DLF1,2026-07-08 19:33:00 GPST,31,329580.0
4,27,G02 G10 G17 G19,has,DLF1,2026-07-08 19:38:00 GPST,31,329880.0
4,27,G02 G10 G17 G19,has,DLF1,2026-07-08 19:43:00 GPST,31,330180.0
4,27,G02 G10 G17 G19,has,DLF1,2026-07-08 19:48:00 GPST,31,330480.0
4,27,G02 G10 G17 G19,has,DLF1,2026-07-08 19:53:00 GPST,31,330780.0
4,27,G02 G10 G17 G19,has,DLF1,2026-07-08 19:58:00 GPST,31,331080.0
3,28,G02 G10 G19,has,DLF1,2026-07-08 20:03:00 GPST,31,331380.0
4,27,G01 G02 G10 G19,has,DLF1,2026-07-08 20:08:00 GPST,31,331680.0
4,27,G01 G02 G10 G19,has,DLF1,2026-07-08 20:13:00 GPST,31,331980.0
3,28,G01 G02 G19,has,DLF1,2026-07-08 20:18:00 GPST,31,332280.0
3,28,G01 G02 G19,has,DLF1,2026-07-08 20:23:00 GPST,31,332580.0
3,28,G01 G02 G19,has,DLF1,2026-07-08 20:28:00 GPST,31,332880.0
4,27,G01 G02 G19 G30,has,DLF1,2026-07-08 20:33:00 GPST,31,333180.0
4,27,G01 G02 G19 G30,has,DLF1,2026-07-08 20:38:00 GPST,31,333480.0
4,27,G01 G02 G19 G30,has,DLF1,2026-07-08 20:43:00 GPST,31,333780.0
4,27,G01 G02 G19 G30,has,DLF1,2026-07-08 20:48:00 GPST,31,334080.0
3,28,G01 G02 G30,has,DLF1,2026-07-08 20:53:00 GPST,31,334380.0
3,28,G01 G02 G30,has,DLF1,2026-07-08 20:58:00 GPST,31,334680.0
3,28,G01 G02 G30,has,DLF1,2026-07-08 21:03:00 GPST,31,334980.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,igs,DLF1,2026-07-08 19:33:00 GPST,31,329580.0
0,31,,igs,DLF1,2026-07-08 19:38:00 GPST,31,329880.0
0,31,,igs,DLF1,2026-07-08 19:43:00 GPST,31,330180.0
0,31,,igs,DLF1,2026-07-08 19:48:00 GPST,31,330480.0
0,31,,igs,DLF1,2026-07-08 19:53:00 GPST,31,330780.0
0,31,,igs,DLF1,2026-07-08 19:58:00 GPST,31,331080.0
0,31,,igs,DLF1,2026-07-08 20:03:00 GPST,31,331380.0
0,31,,igs,DLF1,2026-07-08 20:08:00 GPST,31,331680.0
0,31,,igs,DLF1,2026-07-08 20:13:00 GPST,31,331980.0
0,31,,igs,DLF1,2026-07-08 20:18:00 GPST,31,332280.0
0,31,,igs,DLF1,2026-07-08 20:23:00 GPST,31,332580.0
0,31,,igs,DLF1,2026-07-08 20:28:00 GPST,31,332880.0
1,30,G20,igs,DLF1,2026-07-08 20:33:00 GPST,31,333180.0
1,30,G20,igs,DLF1,2026-07-08 20:38:00 GPST,31,333480.0
1,30,G20,igs,DLF1,2026-07-08 20:43:00 GPST,31,333780.0
1,30,G20,igs,DLF1,2026-07-08 20:48:00 GPST,31,334080.0
1,30,G20,igs,DLF1,2026-07-08 20:53:00 GPST,31,334380.0
1,30,G20,igs,DLF1,2026-07-08 20:58:00 GPST,31,334680.0
1,30,G20,igs,DLF1,2026-07-08 21:03:00 GPST,31,334980.0
26,0,E04 E06 E09 E13 E19 E21 E23 E27 E28 E29 E31 G05 G06 G07 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G30,broadcast,DYNG,2026-07-08 19:33:00 GPST,26,329580.0
26,0,E04 E06 E09 E13 E19 E21 E23 E27 E28 E29 E31 G05 G06 G07 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G30,broadcast,DYNG,2026-07-08 19:38:00 GPST,26,329880.0
26,0,E04 E06 E09 E13 E19 E21 E23 E27 E28 E29 E31 G05 G06 G07 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G30,broadcast,DYNG,2026-07-08 19:43:00 GPST,26,330180.0
26,0,E04 E06 E09 E13 E19 E21 E23 E27 E28 E29 E31 G05 G06 G07 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G30,broadcast,DYNG,2026-07-08 19:48:00 GPST,26,330480.0
26,0,E04 E06 E09 E13 E19 E21 E23 E27 E28 E29 E31 G05 G06 G07 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G30,broadcast,DYNG,2026-07-08 19:53:00 GPST,26,330780.0
26,0,E04 E06 E09 E13 E19 E21 E23 E27 E28 E29 E31 G05 G06 G07 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G30,broadcast,DYNG,2026-07-08 19:58:00 GPST,26,331080.0
26,0,E04 E06 E09 E13 E19 E21 E23 E27 E28 E29 E31 G05 G06 G07 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G30,broadcast,DYNG,2026-07-08 20:03:00 GPST,26,331380.0
26,0,E04 E06 E09 E13 E19 E21 E23 E27 E28 E29 E31 G05 G06 G07 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G30,broadcast,DYNG,2026-07-08 20:08:00 GPST,26,331680.0
26,0,E04 E06 E09 E13 E19 E21 E23 E27 E28 E29 E31 G05 G06 G07 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G30,broadcast,DYNG,2026-07-08 20:13:00 GPST,26,331980.0
26,0,E04 E06 E09 E13 E19 E21 E23 E27 E28 E29 E31 G05 G06 G07 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G30,broadcast,DYNG,2026-07-08 20:18:00 GPST,26,332280.0
26,0,E04 E06 E09 E13 E19 E21 E23 E27 E28 E29 E31 G05 G06 G07 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G30,broadcast,DYNG,2026-07-08 20:23:00 GPST,26,332580.0
26,0,E04 E06 E09 E13 E19 E21 E23 E27 E28 E29 E31 G05 G06 G07 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G30,broadcast,DYNG,2026-07-08 20:28:00 GPST,26,332880.0
26,0,E04 E06 E09 E13 E19 E21 E23 E27 E28 E29 E31 G05 G06 G07 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G30,broadcast,DYNG,2026-07-08 20:33:00 GPST,26,333180.0
26,0,E04 E06 E09 E13 E19 E21 E23 E27 E28 E29 E31 G05 G06 G07 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G30,broadcast,DYNG,2026-07-08 20:38:00 GPST,26,333480.0
26,0,E04 E06 E09 E13 E19 E21 E23 E27 E28 E29 E31 G05 G06 G07 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G30,broadcast,DYNG,2026-07-08 20:43:00 GPST,26,333780.0
26,0,E04 E06 E09 E13 E19 E21 E23 E27 E28 E29 E31 G05 G06 G07 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G30,broadcast,DYNG,2026-07-08 20:48:00 GPST,26,334080.0
26,0,E04 E06 E09 E13 E19 E21 E23 E27 E28 E29 E31 G05 G06 G07 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G30,broadcast,DYNG,2026-07-08 20:53:00 GPST,26,334380.0
26,0,E04 E06 E09 E13 E19 E21 E23 E27 E28 E29 E31 G05 G06 G07 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G30,broadcast,DYNG,2026-07-08 20:58:00 GPST,26,334680.0
26,0,E04 E06 E09 E13 E19 E21 E23 E27 E28 E29 E31 G05 G06 G07 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G30,broadcast,DYNG,2026-07-08 21:03:00 GPST,26,334980.0
26,0,E04 E06 E09 E13 E19 E21 E23 E27 E28 E29 E31 G05 G06 G07 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G30,has,DYNG,2026-07-08 19:33:00 GPST,26,329580.0
4,22,G07 G10 G17 G19,has,DYNG,2026-07-08 19:38:00 GPST,26,329880.0
4,22,G07 G10 G17 G19,has,DYNG,2026-07-08 19:43:00 GPST,26,330180.0
4,22,G07 G10 G17 G19,has,DYNG,2026-07-08 19:48:00 GPST,26,330480.0
4,22,G07 G10 G17 G19,has,DYNG,2026-07-08 19:53:00 GPST,26,330780.0
4,22,G07 G10 G17 G19,has,DYNG,2026-07-08 19:58:00 GPST,26,331080.0
3,23,G07 G10 G19,has,DYNG,2026-07-08 20:03:00 GPST,26,331380.0
3,23,G07 G10 G19,has,DYNG,2026-07-08 20:08:00 GPST,26,331680.0
3,23,G07 G10 G19,has,DYNG,2026-07-08 20:13:00 GPST,26,331980.0
2,24,G07 G19,has,DYNG,2026-07-08 20:18:00 GPST,26,332280.0
2,24,G07 G19,has,DYNG,2026-07-08 20:23:00 GPST,26,332580.0
2,24,G07 G19,has,DYNG,2026-07-08 20:28:00 GPST,26,332880.0
3,23,G07 G19 G30,has,DYNG,2026-07-08 20:33:00 GPST,26,333180.0
3,23,G07 G19 G30,has,DYNG,2026-07-08 20:38:00 GPST,26,333480.0
3,23,G07 G19 G30,has,DYNG,2026-07-08 20:43:00 GPST,26,333780.0
3,23,G07 G19 G30,has,DYNG,2026-07-08 20:48:00 GPST,26,334080.0
1,25,G30,has,DYNG,2026-07-08 20:53:00 GPST,26,334380.0
1,25,G30,has,DYNG,2026-07-08 20:58:00 GPST,26,334680.0
1,25,G30,has,DYNG,2026-07-08 21:03:00 GPST,26,334980.0
26,0,E04 E06 E09 E13 E19 E21 E23 E27 E28 E29 E31 G05 G06 G07 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G30,igs,DYNG,2026-07-08 19:33:00 GPST,26,329580.0
0,26,,igs,DYNG,2026-07-08 19:38:00 GPST,26,329880.0
0,26,,igs,DYNG,2026-07-08 19:43:00 GPST,26,330180.0
0,26,,igs,DYNG,2026-07-08 19:48:00 GPST,26,330480.0
0,26,,igs,DYNG,2026-07-08 19:53:00 GPST,26,330780.0
0,26,,igs,DYNG,2026-07-08 19:58:00 GPST,26,331080.0
0,26,,igs,DYNG,2026-07-08 20:03:00 GPST,26,331380.0
0,26,,igs,DYNG,2026-07-08 20:08:00 GPST,26,331680.0
0,26,,igs,DYNG,2026-07-08 20:13:00 GPST,26,331980.0
0,26,,igs,DYNG,2026-07-08 20:18:00 GPST,26,332280.0
0,26,,igs,DYNG,2026-07-08 20:23:00 GPST,26,332580.0
0,26,,igs,DYNG,2026-07-08 20:28:00 GPST,26,332880.0
1,25,G20,igs,DYNG,2026-07-08 20:33:00 GPST,26,333180.0
1,25,G20,igs,DYNG,2026-07-08 20:38:00 GPST,26,333480.0
1,25,G20,igs,DYNG,2026-07-08 20:43:00 GPST,26,333780.0
1,25,G20,igs,DYNG,2026-07-08 20:48:00 GPST,26,334080.0
1,25,G20,igs,DYNG,2026-07-08 20:53:00 GPST,26,334380.0
1,25,G20,igs,DYNG,2026-07-08 20:58:00 GPST,26,334680.0
1,25,G20,igs,DYNG,2026-07-08 21:03:00 GPST,26,334980.0
26,0,E04 E06 E09 E10 E11 E19 E21 E23 E28 E29 E31 E36 G05 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G25 G30,broadcast,EBRE,2026-07-08 19:33:00 GPST,26,329580.0
26,0,E04 E06 E09 E10 E11 E19 E21 E23 E28 E29 E31 E36 G05 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G25 G30,broadcast,EBRE,2026-07-08 19:38:00 GPST,26,329880.0
26,0,E04 E06 E09 E10 E11 E19 E21 E23 E28 E29 E31 E36 G05 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G25 G30,broadcast,EBRE,2026-07-08 19:43:00 GPST,26,330180.0
26,0,E04 E06 E09 E10 E11 E19 E21 E23 E28 E29 E31 E36 G05 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G25 G30,broadcast,EBRE,2026-07-08 19:48:00 GPST,26,330480.0
26,0,E04 E06 E09 E10 E11 E19 E21 E23 E28 E29 E31 E36 G05 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G25 G30,broadcast,EBRE,2026-07-08 19:53:00 GPST,26,330780.0
26,0,E04 E06 E09 E10 E11 E19 E21 E23 E28 E29 E31 E36 G05 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G25 G30,broadcast,EBRE,2026-07-08 19:58:00 GPST,26,331080.0
26,0,E04 E06 E09 E10 E11 E19 E21 E23 E28 E29 E31 E36 G05 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G25 G30,broadcast,EBRE,2026-07-08 20:03:00 GPST,26,331380.0
26,0,E04 E06 E09 E10 E11 E19 E21 E23 E28 E29 E31 E36 G05 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G25 G30,broadcast,EBRE,2026-07-08 20:08:00 GPST,26,331680.0
26,0,E04 E06 E09 E10 E11 E19 E21 E23 E28 E29 E31 E36 G05 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G25 G30,broadcast,EBRE,2026-07-08 20:13:00 GPST,26,331980.0
26,0,E04 E06 E09 E10 E11 E19 E21 E23 E28 E29 E31 E36 G05 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G25 G30,broadcast,EBRE,2026-07-08 20:18:00 GPST,26,332280.0
26,0,E04 E06 E09 E10 E11 E19 E21 E23 E28 E29 E31 E36 G05 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G25 G30,broadcast,EBRE,2026-07-08 20:23:00 GPST,26,332580.0
26,0,E04 E06 E09 E10 E11 E19 E21 E23 E28 E29 E31 E36 G05 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G25 G30,broadcast,EBRE,2026-07-08 20:28:00 GPST,26,332880.0
26,0,E04 E06 E09 E10 E11 E19 E21 E23 E28 E29 E31 E36 G05 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G25 G30,broadcast,EBRE,2026-07-08 20:33:00 GPST,26,333180.0
26,0,E04 E06 E09 E10 E11 E19 E21 E23 E28 E29 E31 E36 G05 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G25 G30,broadcast,EBRE,2026-07-08 20:38:00 GPST,26,333480.0
26,0,E04 E06 E09 E10 E11 E19 E21 E23 E28 E29 E31 E36 G05 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G25 G30,broadcast,EBRE,2026-07-08 20:43:00 GPST,26,333780.0
26,0,E04 E06 E09 E10 E11 E19 E21 E23 E28 E29 E31 E36 G05 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G25 G30,broadcast,EBRE,2026-07-08 20:48:00 GPST,26,334080.0
26,0,E04 E06 E09 E10 E11 E19 E21 E23 E28 E29 E31 E36 G05 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G25 G30,broadcast,EBRE,2026-07-08 20:53:00 GPST,26,334380.0
26,0,E04 E06 E09 E10 E11 E19 E21 E23 E28 E29 E31 E36 G05 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G25 G30,broadcast,EBRE,2026-07-08 20:58:00 GPST,26,334680.0
26,0,E04 E06 E09 E10 E11 E19 E21 E23 E28 E29 E31 E36 G05 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G25 G30,broadcast,EBRE,2026-07-08 21:03:00 GPST,26,334980.0
26,0,E04 E06 E09 E10 E11 E19 E21 E23 E28 E29 E31 E36 G05 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G25 G30,has,EBRE,2026-07-08 19:33:00 GPST,26,329580.0
4,22,G10 G17 G19 G25,has,EBRE,2026-07-08 19:38:00 GPST,26,329880.0
4,22,G10 G17 G19 G25,has,EBRE,2026-07-08 19:43:00 GPST,26,330180.0
4,22,G10 G17 G19 G25,has,EBRE,2026-07-08 19:48:00 GPST,26,330480.0
4,22,G10 G17 G19 G25,has,EBRE,2026-07-08 19:53:00 GPST,26,330780.0
4,22,G10 G17 G19 G25,has,EBRE,2026-07-08 19:58:00 GPST,26,331080.0
3,23,G10 G19 G25,has,EBRE,2026-07-08 20:03:00 GPST,26,331380.0
3,23,G10 G19 G25,has,EBRE,2026-07-08 20:08:00 GPST,26,331680.0
3,23,G10 G19 G25,has,EBRE,2026-07-08 20:13:00 GPST,26,331980.0
2,24,G19 G25,has,EBRE,2026-07-08 20:18:00 GPST,26,332280.0
2,24,G19 G25,has,EBRE,2026-07-08 20:23:00 GPST,26,332580.0
2,24,G19 G25,has,EBRE,2026-07-08 20:28:00 GPST,26,332880.0
3,23,G19 G25 G30,has,EBRE,2026-07-08 20:33:00 GPST,26,333180.0
3,23,G19 G25 G30,has,EBRE,2026-07-08 20:38:00 GPST,26,333480.0
3,23,G19 G25 G30,has,EBRE,2026-07-08 20:43:00 GPST,26,333780.0
3,23,G19 G25 G30,has,EBRE,2026-07-08 20:48:00 GPST,26,334080.0
2,24,G25 G30,has,EBRE,2026-07-08 20:53:00 GPST,26,334380.0
2,24,G25 G30,has,EBRE,2026-07-08 20:58:00 GPST,26,334680.0
2,24,G25 G30,has,EBRE,2026-07-08 21:03:00 GPST,26,334980.0
26,0,E04 E06 E09 E10 E11 E19 E21 E23 E28 E29 E31 E36 G05 G10 G12 G14 G15 G17 G19 G20 G21 G22 G23 G24 G25 G30,igs,EBRE,2026-07-08 19:33:00 GPST,26,329580.0
0,26,,igs,EBRE,2026-07-08 19:38:00 GPST,26,329880.0
0,26,,igs,EBRE,2026-07-08 19:43:00 GPST,26,330180.0
0,26,,igs,EBRE,2026-07-08 19:48:00 GPST,26,330480.0
0,26,,igs,EBRE,2026-07-08 19:53:00 GPST,26,330780.0
0,26,,igs,EBRE,2026-07-08 19:58:00 GPST,26,331080.0
0,26,,igs,EBRE,2026-07-08 20:03:00 GPST,26,331380.0
0,26,,igs,EBRE,2026-07-08 20:08:00 GPST,26,331680.0
0,26,,igs,EBRE,2026-07-08 20:13:00 GPST,26,331980.0
0,26,,igs,EBRE,2026-07-08 20:18:00 GPST,26,332280.0
0,26,,igs,EBRE,2026-07-08 20:23:00 GPST,26,332580.0
0,26,,igs,EBRE,2026-07-08 20:28:00 GPST,26,332880.0
1,25,G20,igs,EBRE,2026-07-08 20:33:00 GPST,26,333180.0
1,25,G20,igs,EBRE,2026-07-08 20:38:00 GPST,26,333480.0
1,25,G20,igs,EBRE,2026-07-08 20:43:00 GPST,26,333780.0
1,25,G20,igs,EBRE,2026-07-08 20:48:00 GPST,26,334080.0
1,25,G20,igs,EBRE,2026-07-08 20:53:00 GPST,26,334380.0
1,25,G20,igs,EBRE,2026-07-08 20:58:00 GPST,26,334680.0
1,25,G20,igs,EBRE,2026-07-08 21:03:00 GPST,26,334980.0
