broadcast_used_satellites,elapsed_s,has_used_satellites,identical_across_sources,igs_used_satellites,station,time_gpst
E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,600.0,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,True,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,DLF1,2026-07-08 19:43:00 GPST
E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,900.0,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,True,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,DLF1,2026-07-08 19:48:00 GPST
E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,1200.0,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,True,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,DLF1,2026-07-08 19:53:00 GPST
E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,1500.0,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,True,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,DLF1,2026-07-08 19:58:00 GPST
E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,1800.0,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,True,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,DLF1,2026-07-08 20:03:00 GPST
E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E31:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,2100.0,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E31:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,True,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E31:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,DLF1,2026-07-08 20:08:00 GPST
E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E31:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G12:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,2400.0,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E31:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G12:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,True,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E31:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G12:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,DLF1,2026-07-08 20:13:00 GPST
E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E31:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G12:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,2700.0,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E31:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G12:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,True,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E31:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G12:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,DLF1,2026-07-08 20:18:00 GPST
E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E31:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G12:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,3000.0,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E31:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G12:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,True,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E31:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G12:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,DLF1,2026-07-08 20:23:00 GPST
E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E31:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G12:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,3300.0,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E31:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G12:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,True,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E31:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G12:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,DLF1,2026-07-08 20:28:00 GPST
E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E31:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G12:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,3600.0,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E31:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G12:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,True,E04:E1/E5a:0 E06:E1/E5a:0 E09:E1/E5a:0 E11:E1/E5a:0 E19:E1/E5a:0 E21:E1/E5a:0 E23:E1/E5a:0 E27:E1/E5a:0 E28:E1/E5a:0 E31:E1/E5a:0 E36:E1/E5a:0 G05:L1/L2:0 G10:L1/L2:0 G12:L1/L2:0 G14:L1/L2:0 G15:L1/L2:0 G17:L1/L2:0 G19:L1/L2:0 G20:L1/L2:0 G22:L1/L2:0 G23:L1/L2:0 G24:L1/L2:0 G30:L1/L2:0,DLF1,2026-07-08 20:33:00 GPST
